id,data,tweet,user,classificação
1456834542627602433,2021-11-06 04:03:16+00:00,"O que aconteceu com o Fogaça? Vendo agora o episodio da semana pelo Youtube, vi que ele saiu novamente. Nos sites dão a entender que só aconteceu uma vez, mas eu já ouvi sobre ausencia dele no meio do programa pelo menos 2 vezes. #masterchefbrasil",sferreiravic,Neutro
1456765784529768458,2021-11-05 23:30:03+00:00,"Em 2020, Marília participou do episódio especial de Natal do MasterChef Brasil, que reuniu outras celebridades, entre elas César Menotti, Joel Datena, Maraisa, Péricles e Zeca Camargo. https://t.co/ukvGiNkZ7l #mariliamendonça #masterchef #masterchefbrasil",RevistaISTOE,
1456764222977761284,2021-11-05 23:23:50+00:00,Maria Rita e João Carlos Martins são os convidados especiais do #MasterChefBrasil confira tudo o que vai rolar no próximo episódio 👉👉👉 https://t.co/1Z0FD3PsSp https://t.co/qb1j1SjAYZ,tvabordo,
1456442462743015452,2021-11-05 02:05:17+00:00,"Eu não entendo a perseguição com o Heitor e o Eduardo kkkkkkkkkkkk 

Os bichos poderiam ser um Sérgio da vida, insuportáveis e arrogantes pq os bichos SÃO BONS PRA CARALHOOO, e eles são mo humildes… 

NÃO ENTRA NA MINHA CABEÇA 

#MasterChefBR #MasterChefBrasil #MasterChef https://t.co/FnjnkfH8nI",sabilisacrf,Positivo
1456316523019128840,2021-11-04 17:44:50+00:00,O horário de trabalho de todo mundo que trabalha com gastronomia… #topchefbrasil #TopChefBrasil #masterchefbrasil https://t.co/QGGqZz8rUl,chefanahirata,
1456217391906664454,2021-11-04 11:10:56+00:00,"Reality's culinários perdem audiência e batem recordes negativos na Record, Band e SBT https://t.co/cvWQ7ufiXC #TopChefBrasil #MasterchefBrasil #BakeOffBrasil",SiteCTV,
1456083635883417602,2021-11-04 02:19:26+00:00,"Aqui pra nós, quem vocês acham que ganha esse Masterchef? #masterchefbrasil",Ayran_,Neutro
1455995992931803142,2021-11-03 20:31:10+00:00,já vai tarde🙏🏻 #masterchefbrasil,_beatrizaguiar1,Positivo
1455988235478441999,2021-11-03 20:00:20+00:00,Só ela pode vencer e discordem em silêncio. #masterchefbrasil https://t.co/RdYHYApNLr,bbrunabraga,Positivo
1455988223822475266,2021-11-03 20:00:18+00:00,"Itatiaia
Balcão + Cooktop por apenas R$ 499
👩‍🍳https://t.co/Lq8RIl2SRk 👨‍🍳

#ofertas #blackfriday #blacknovember #cooktop #cozinhar #masterchefbrasil #MasterChef #Master #eletrodomesticos #lar #Itatiaia https://t.co/Exp7CQqUKW",LomadeeOfertas,
1455984803107463168,2021-11-03 19:46:42+00:00,ana saiuuuuuuuuuuuuuuuuuu UHUUUU #masterchefbrasil,sabibs_,Positivo
1455881279073890307,2021-11-03 12:55:20+00:00,O Tiago simplesmente queimou por 3 vezes os biscoitos ! #MasterChefBrasil,barroswcb,Negativo
1455843524319010818,2021-11-03 10:25:19+00:00,"ontem esqueci de comemorar que a ana saiu, amém #masterchefbrasil",isaathuany,Positivo
1455739765714739201,2021-11-03 03:33:01+00:00,"Se esse masterchef não tem figurinha marcada eu sou uma geladeira.... o cara não coloca o ingrediente ""Base"" do prato e passa. #MasterChef #MasterChefBrasil #MasterChefBR #MasterChefNaBand",Ticomkt,Negativo
1455739327380656130,2021-11-03 03:31:16+00:00,"#Eduardo, tu não brinque assim com meu coração, mlk! #masterchefbrasil #MasterChefBR",thepowerguido01,
1455737072149532673,2021-11-03 03:22:18+00:00,"Ja que Ana tirou o lugar da Raquel  semana  passada, quem deveria sair era ela ,nem era pra esta ai #MasterChefBR #masterchefbrasil",diasadaiane,
1455733959015510022,2021-11-03 03:09:56+00:00,#MasterChef #masterchefbr #masterchefbrasil #MasterChefNaBand os indígenas vendo os participantes reproduzindo a culinária indígena 😵😵😵: https://t.co/lwvtt6vvfH,lopessmaily,
1455729580396924933,2021-11-03 02:52:32+00:00,#MasterChef #masterchefbr #masterchefbrasil #MasterChefNaBand a Helena ganhando a prova alcoólica 😂😂😂: https://t.co/QGDjrDUdjq,lopessmaily,
1455727893439463428,2021-11-03 02:45:50+00:00,Que aconteceu com o Fogaça? #masterchefbrasil,mba2black,Neutro
1455723882254675969,2021-11-03 02:29:54+00:00,#MasterChef #masterchefbr #masterchefbrasil #MasterChefNaBand resumo da prova de pressão 😂😂😂: https://t.co/dnGEG1oms9,lopessmaily,
1455723684023443459,2021-11-03 02:29:06+00:00,Faria essa prova de degustação mesmo que não valesse o mezanino 😂 #MasterChefBR #masterchefbrasil,BiamkVasc,Positivo
1455722276519759876,2021-11-03 02:23:31+00:00,Se salva ai @tiagosouto  #MasterChefBR #masterchefbrasil,diasadaiane,
1455721073740337155,2021-11-03 02:18:44+00:00,"Essa Ana Paula era pra ter sido eliminada semana passada ,a Raquel não merecia sair #masterchefbrasil #MasterChefBR",diasadaiane,Negativo
1455718870845624323,2021-11-03 02:09:59+00:00,"Me incomoda que o Masterchef não exija o uso de máscara e toca para os participantes enquanto cozinham… 

Em plena pandemia, vimos o tanto que a gente cospe, cabelo solto cai… higiene mandou abraço 

#MasterChef #MasterChefBR #MasterChefBrasil https://t.co/97HOvrPpB2",sabilisacrf,Negativo
1455718841909141507,2021-11-03 02:09:52+00:00,"Cada equipe com 1 dos meus preferidos: Isa na azul, Tiago na amarela e Edu na vermelha! #masterchef #masterchefbr #masterchefbrasil",shapereira03,Positivo
1455716456491069440,2021-11-03 02:00:23+00:00,Sou fã do Edu. Acho esse garoto incrível. A minha torcida é para ele. Vai EDU! #masterchefbrasil,Eliane12259956,Positivo
1455716116005888002,2021-11-03 01:59:02+00:00,Aí tem sobremesas com produtos que nunca imaginei usar #masterchefbrasil,Eliane12259956,Neutro
1455715833595023362,2021-11-03 01:57:55+00:00,Adoraria provar essas sobremesas tão diferentes  #masterchefbrasil,Eliane12259956,Positivo
1455678610203893765,2021-11-02 23:30:00+00:00,Leandro Hassum avalia menu de sobremesas no próximo episódio do #MasterChefBrasil  https://t.co/oWqwyRyjoe,tv_memoria,
1455586665716666373,2021-11-02 17:24:39+00:00,Hoje tem #MasterChefBrasil,evertontvn,Neutro
1453908095093063684,2021-10-29 02:14:36+00:00,"As vezes eu gosto de cozinhar.  

#MasterChefBR #MasterChefCelebrity #masterchefbrasil https://t.co/4eNmOSClHX",ben_pretinho,Neutro
1453889479991861252,2021-10-29 01:00:38+00:00,"Raquel tbm era meu xodó, finíssima #masterchefbrasil",cadrix5,Positivo
